left,right,metric,class_id,class_difference,full_point,leave_one_class_out_point,point_change,estimand
aligned_donor_source,aligned_isotropic_source,normalized_regret,870,-0.016273732761435775,-0.03685916515811938,-0.038231527317898285,-0.0013723621597789074,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,888,-0.06501324071112857,-0.03685916515811938,-0.03498222678791876,0.0018769383702006148,descriptive_influence_only_no_class_removed_from_primary
aligned_donor_source,aligned_isotropic_source,normalized_regret,975,-0.07513767957221607,-0.03685916515811938,-0.034307264197179596,0.002551900960939782,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,19,-0.2533208828564805,-0.07799178713208693,-0.06630318075046068,0.011688606381626249,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,85,-0.010857732037999002,-0.07799178713208693,-0.08246739080502613,-0.004475603672939199,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,131,-0.0701026091774634,-0.07799178713208693,-0.07851773232906184,-0.0005259451969749085,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,224,-0.009296271206856156,-0.07799178713208693,-0.08257148819376899,-0.004579701061682054,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,301,-0.036872973906501516,-0.07799178713208693,-0.08073304134712596,-0.0027412542150390268,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,345,-0.027491976898670382,-0.07799178713208693,-0.08135844114764804,-0.0033666540155611047,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,384,-0.016869114494732808,-0.07799178713208693,-0.08206663197457723,-0.004074844842490294,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,462,-0.028101569768303275,-0.07799178713208693,-0.08131780162300585,-0.0033260144909189188,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,511,-0.11378809113872138,-0.07799178713208693,-0.07560536686497796,0.002386420267108974,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,568,-0.02348576523066577,-0.07799178713208693,-0.08162552192551502,-0.0036337347934280867,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,679,-0.022829927128092037,-0.07799178713208693,-0.08166924446568659,-0.003677457333599657,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,712,-0.011540915773584737,-0.07799178713208693,-0.08242184522265375,-0.0044300580905668185,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,780,-0.10560841120388667,-0.07799178713208693,-0.07615067886063362,0.0018411082714533122,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,870,-0.05111171095818616,-0.07799178713208693,-0.079783792210347,-0.0017920050782600644,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,888,-0.1287104328785474,-0.07799178713208693,-0.0746105440823229,0.0033812430497640322,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,absolute_regret,975,-0.33788020945469976,-0.07799178713208693,-0.06066589231057941,0.017325894821507523,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,19,-0.008469499101136632,-0.047176868071575936,-0.049757359336271886,-0.00258049126469595,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,85,-0.02402696181867907,-0.047176868071575936,-0.04872019515510239,-0.0015433270835264537,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,131,-0.040325385878613965,-0.047176868071575936,-0.04763363355110673,-0.0004567654795307949,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,224,-0.03613578615696607,-0.047176868071575936,-0.04791294019921659,-0.0007360721276406523,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,301,-0.01985298031496674,-0.047176868071575936,-0.048998460588683214,-0.0018215925171072775,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,345,-0.05510040231663817,-0.047176868071575936,-0.046648632455238453,0.000528235616337483,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,384,-0.06333051967578752,-0.047176868071575936,-0.0460999579646285,0.0010769101069474374,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,462,-0.06325465146791343,-0.047176868071575936,-0.04610501584515344,0.001071852226422497,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,511,-0.0463567067344198,-0.047176868071575936,-0.047231545494053014,-5.467742247707713e-05,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,568,-0.05614093448914827,-0.047176868071575936,-0.04657926364373778,0.0005976044278381554,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,679,-0.013151071902256797,-0.047176868071575936,-0.049445254482863875,-0.0022683864112879384,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,712,-0.09414562236552063,-0.047176868071575936,-0.04404561778531295,0.0031312502862629876,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,780,-0.07133032389838112,-0.047176868071575936,-0.04556663768312226,0.0016102303884536762,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,870,-0.06243646756696439,-0.047176868071575936,-0.04615956143855004,0.0010173066330258981,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,888,-0.04091848998872792,-0.047176868071575936,-0.04759409327709914,-0.00041722520552320286,descriptive_influence_only_no_class_removed_from_primary
aligned_actual_source,aligned_isotropic_source,normalized_regret,975,-0.05985408546909443,-0.047176868071575936,-0.0463317202450747,0.000845147826501233,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,19,0.0013001154090594921,-0.023656469508012576,-0.02532024183581738,-0.001663772327804805,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,85,-0.010858199253520162,-0.023656469508012576,-0.024509687524978736,-0.0008532180169661605,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,131,0.005435722377757551,-0.023656469508012576,-0.02559594896706392,-0.001939479459051343,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,224,-0.003602399394024739,-0.023656469508012576,-0.024993407515611764,-0.001336938007599188,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,301,-0.03291114058033409,-0.023656469508012576,-0.023039491436524475,0.0006169780714881008,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,345,-0.001409588958240171,-0.023656469508012576,-0.0251395948779974,-0.0014831253699848258,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,384,0.004683898829972978,-0.023656469508012576,-0.025545827397211614,-0.0018893578891990385,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,462,0.008626948025657236,-0.023656469508012576,-0.02580869734359056,-0.002152227835577985,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,511,-0.014707093546357339,-0.023656469508012576,-0.024253094572122925,-0.0005966250641103489,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,568,-0.04704627864420275,-0.023656469508012576,-0.02209714889893323,0.0015593206090793454,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,679,-0.1545335129503194,-0.023656469508012576,-0.014931333278525454,0.008725136229487122,descriptive_influence_only_no_class_removed_from_primary
stage_only,constant,absolute_regret,712,0.00012538421477485684,-0.023656469508012576,-0.025241926422865078,-0.0015854569148525018,descriptive_influence_only_no_class_removed_from_primary
