family,policy,metric,class_id,value,sets,seeds,unit,estimand,source_observations_sha256
primary,energy,absolute_regret,345,0.042157736891959945,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,384,0.018446159063970423,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,462,0.1582362336176965,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,511,0.16171441742030532,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,568,0.11369213731232299,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,679,0.5784769139622279,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,712,0.08223266719969823,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,780,0.08959860693251116,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,870,0.08081516917836486,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,888,0.3838800632857926,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,absolute_regret,975,0.25650552848706365,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,energy,normalized_regret,19,0.15773259198191278,27,4,equal_set_equal_seed_class_mean,retrospective_public_scalar_reanalysis,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
