family,class_id,seed,set_id,policy,selected,selected_stage,oracle_stage,candidate_count,saving_bits,selected_probability_json,unit,estimand,oracle,absolute_regret,normalized_regret,resolved,risk_range,range_tau,selected_Y,oracle_Y,oracle_hit,all_minima_hit,source_observations_sha256
primary,462,81,primary_705fa28644fa,pure_G,output_conditioning_projection_stage15_w6,15,15,3,26542080,"{""output_conditioning_projection_stage15_w6"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w6,0.0,0.0,True,0.038412753146818794,1e-12,0.0014761694115605908,0.0014761694115605908,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_705fa28644fa,uniform_random_expected,,,15,3,26542080,"{""output_conditioning_projection_stage10_w6"": 0.3333333333333333, ""output_conditioning_projection_stage15_w6"": 0.3333333333333333, ""output_conditioning_projection_stage4_w6"": 0.3333333333333333}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w6,0.013787147536842069,0.35892109800476174,True,0.038412753146818794,1e-12,0.01526331694840266,0.0014761694115605908,0.3333333333333333,0.3333333333333333,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_78aa853a8dcb,constant,output_head_projection_stage15_w4,15,15,3,442368,"{""output_head_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w4,0.0,0.0,True,14.899108464373757,1.5118414079410076e-11,0.21930561503631907,0.21930561503631907,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_78aa853a8dcb,energy,output_head_projection_stage15_w4,15,15,3,442368,"{""output_head_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w4,0.0,0.0,True,14.899108464373757,1.5118414079410076e-11,0.21930561503631907,0.21930561503631907,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_78aa853a8dcb,candidate_B,output_head_projection_stage15_w4,15,15,3,442368,"{""output_head_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w4,0.0,0.0,True,14.899108464373757,1.5118414079410076e-11,0.21930561503631907,0.21930561503631907,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_78aa853a8dcb,hybrid,output_head_projection_stage15_w4,15,15,3,442368,"{""output_head_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w4,0.0,0.0,True,14.899108464373757,1.5118414079410076e-11,0.21930561503631907,0.21930561503631907,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_78aa853a8dcb,latest_stage,output_head_projection_stage15_w4,15,15,3,442368,"{""output_head_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w4,0.0,0.0,True,14.899108464373757,1.5118414079410076e-11,0.21930561503631907,0.21930561503631907,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_78aa853a8dcb,stage_position_only,output_head_projection_stage15_w4,15,15,3,442368,"{""output_head_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w4,0.0,0.0,True,14.899108464373757,1.5118414079410076e-11,0.21930561503631907,0.21930561503631907,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_78aa853a8dcb,pure_G,output_head_projection_stage15_w4,15,15,3,442368,"{""output_head_projection_stage15_w4"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w4,0.0,0.0,True,14.899108464373757,1.5118414079410076e-11,0.21930561503631907,0.21930561503631907,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_78aa853a8dcb,uniform_random_expected,,,15,3,442368,"{""output_head_projection_stage10_w4"": 0.3333333333333333, ""output_head_projection_stage15_w4"": 0.3333333333333333, ""output_head_projection_stage4_w4"": 0.3333333333333333}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w4,5.253928024073395,0.3526337187648784,True,14.899108464373757,1.5118414079410076e-11,5.473233639109714,0.21930561503631907,0.3333333333333333,0.3333333333333333,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8748e8c257a6,constant,output_head_projection_stage15_w8,15,15,3,294912,"{""output_head_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w8,0.0,0.0,True,0.11928906377183425,1e-12,0.0025340796428849894,0.0025340796428849894,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8748e8c257a6,energy,output_head_projection_stage15_w8,15,15,3,294912,"{""output_head_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w8,0.0,0.0,True,0.11928906377183425,1e-12,0.0025340796428849894,0.0025340796428849894,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8748e8c257a6,candidate_B,output_head_projection_stage15_w8,15,15,3,294912,"{""output_head_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w8,0.0,0.0,True,0.11928906377183425,1e-12,0.0025340796428849894,0.0025340796428849894,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8748e8c257a6,hybrid,output_head_projection_stage15_w8,15,15,3,294912,"{""output_head_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w8,0.0,0.0,True,0.11928906377183425,1e-12,0.0025340796428849894,0.0025340796428849894,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8748e8c257a6,latest_stage,output_head_projection_stage15_w8,15,15,3,294912,"{""output_head_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w8,0.0,0.0,True,0.11928906377183425,1e-12,0.0025340796428849894,0.0025340796428849894,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8748e8c257a6,stage_position_only,output_head_projection_stage15_w8,15,15,3,294912,"{""output_head_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w8,0.0,0.0,True,0.11928906377183425,1e-12,0.0025340796428849894,0.0025340796428849894,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8748e8c257a6,pure_G,output_head_projection_stage15_w8,15,15,3,294912,"{""output_head_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w8,0.0,0.0,True,0.11928906377183425,1e-12,0.0025340796428849894,0.0025340796428849894,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8748e8c257a6,uniform_random_expected,,,15,3,294912,"{""output_head_projection_stage10_w8"": 0.3333333333333333, ""output_head_projection_stage15_w8"": 0.3333333333333333, ""output_head_projection_stage4_w8"": 0.3333333333333333}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_head_projection_stage15_w8,0.049450789506357985,0.4145458765687285,True,0.11928906377183425,1e-12,0.051984869149242975,0.0025340796428849894,0.3333333333333333,0.3333333333333333,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8bc97f489508,constant,output_conditioning_projection_stage15_w8,15,15,3,21233664,"{""output_conditioning_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w8,0.0,0.0,True,0.009518977624058069,1e-12,0.001311937718597278,0.001311937718597278,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8bc97f489508,energy,output_conditioning_projection_stage10_w8,10,15,3,21233664,"{""output_conditioning_projection_stage10_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w8,0.0031495169280901783,0.3308671427202596,True,0.009518977624058069,1e-12,0.004461454646687456,0.001311937718597278,0.0,0.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8bc97f489508,candidate_B,output_conditioning_projection_stage15_w8,15,15,3,21233664,"{""output_conditioning_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w8,0.0,0.0,True,0.009518977624058069,1e-12,0.001311937718597278,0.001311937718597278,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8bc97f489508,hybrid,output_conditioning_projection_stage15_w8,15,15,3,21233664,"{""output_conditioning_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w8,0.0,0.0,True,0.009518977624058069,1e-12,0.001311937718597278,0.001311937718597278,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8bc97f489508,latest_stage,output_conditioning_projection_stage15_w8,15,15,3,21233664,"{""output_conditioning_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w8,0.0,0.0,True,0.009518977624058069,1e-12,0.001311937718597278,0.001311937718597278,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,462,81,primary_8bc97f489508,stage_position_only,output_conditioning_projection_stage15_w8,15,15,3,21233664,"{""output_conditioning_projection_stage15_w8"": 1.0}",class_seed_exact_cost_set,retrospective_public_scalar_reanalysis,output_conditioning_projection_stage15_w8,0.0,0.0,True,0.009518977624058069,1e-12,0.001311937718597278,0.001311937718597278,1.0,1.0,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
