class_id,seed,group,event_stage,probe_stage,family,alpha,relative_derivative_drift,direction_cosine,odd_curvature,component_robust_error,richardson_diagnostic_disagreement,legacy_L_pass,C_pass,D_source_ratio_within_reference,application_certified,R_pass,N_pass
123,108,qkv_all_blocks,15,16,accumulated,0.03125,0.0008087189118656867,0.9999996729894737,0.003881224176557932,0.0004900024008742663,0.002319609022483096,True,True,True,False,True,True
123,108,qkv_all_blocks,15,16,donor,0.0078125,0.0029872228194201,0.9999955404993821,0.004623304662480678,0.0017597043035499085,0.004209830279151333,True,True,True,False,True,True
123,108,qkv_all_blocks,15,16,donor,0.015625,0.0,0.9999999999999998,0.002365774247998943,0.0,0.004209830279151333,True,True,True,False,True,True
123,108,qkv_all_blocks,15,16,donor,0.03125,0.001542268400025853,0.9999988108721006,0.0012643440930105159,0.0009073475315179216,0.004209830279151333,True,True,True,False,True,True
123,108,qkv_all_blocks,15,16,isotropic,0.0078125,0.0028717049814785127,0.9999958766672654,0.004360106525384765,0.001724172554630527,0.004043998889909297,True,True,True,False,True,True
123,108,qkv_all_blocks,15,16,isotropic,0.015625,0.0,0.9999999999999998,0.002274276275595363,0.0,0.004043998889909297,True,True,True,False,True,True
123,108,qkv_all_blocks,15,16,isotropic,0.03125,0.001589369920990468,0.999998737765392,0.0012393749467256607,0.000936171816772044,0.004043998889909297,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,actual_local,0.0078125,0.00900727876006106,0.9999594384998148,0.013609767104692957,0.005994090093854814,0.012557728619935331,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,actual_local,0.015625,0.0,1.0,0.007453436709059251,0.0,0.012557728619935331,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,actual_local,0.03125,0.004862500393676342,0.9999881780913632,0.004003108690681965,0.002997045046927407,0.012557728619935331,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,accumulated,0.0078125,0.00900727876006106,0.9999594384998148,0.013609767104692957,0.005994090093854814,0.012557728619935331,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,accumulated,0.015625,0.0,1.0,0.007453436709059251,0.0,0.012557728619935331,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,accumulated,0.03125,0.004862500393676342,0.9999881780913632,0.004003108690681965,0.002997045046927407,0.012557728619935331,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,donor,0.0078125,0.008438906531364998,0.9999643948281819,0.012889254660808367,0.004977989223541487,0.011744931263333577,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,donor,0.015625,0.0,1.0,0.007151613897204861,0.0,0.011744931263333577,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,donor,0.03125,0.004784045196268192,0.9999885563937136,0.003923216117430013,0.002986793534124892,0.011744931263333577,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,isotropic,0.0078125,0.007947300643188479,0.9999684231042917,0.01180393644548837,0.004940621501418626,0.011126989368655261,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,isotropic,0.015625,0.0,1.0,0.006338788056550764,0.0,0.011126989368655261,True,True,True,False,True,True
123,108,attention_output_all_blocks,4,5,isotropic,0.03125,0.004418395850992791,0.9999902441196744,0.003512022441406773,0.002717341825780245,0.011126989368655261,True,True,True,False,True,True
123,108,attention_output_all_blocks,10,11,actual_local,0.0078125,0.015107223666666659,0.9998858973316507,0.022353034756649178,0.008704153844004367,0.02124585293894034,True,True,True,False,True,True
123,108,attention_output_all_blocks,10,11,actual_local,0.015625,0.0,0.9999999999999999,0.011785625935239505,0.0,0.02124585293894034,True,True,True,False,True,True
123,108,attention_output_all_blocks,10,11,actual_local,0.03125,0.008003356328954409,0.9999679742846281,0.006318071765363956,0.005077423075669215,0.02124585293894034,True,True,True,False,True,True
123,108,attention_output_all_blocks,10,11,accumulated,0.0078125,0.01061175041921298,0.9999437296763706,0.01570717496066387,0.006261656524071324,0.014842679822959639,True,True,True,False,True,True
123,108,attention_output_all_blocks,10,11,accumulated,0.015625,0.0,1.0,0.008469362135220614,0.0,0.014842679822959639,True,True,True,False,True,True
123,108,attention_output_all_blocks,10,11,accumulated,0.03125,0.005526504012154774,0.9999847299282509,0.004453294409042125,0.0032612794396204813,0.014842679822959639,True,True,True,False,True,True
123,108,attention_output_all_blocks,10,11,donor,0.0078125,0.012215915230253895,0.9999254018196492,0.018224856595652403,0.007816446249421792,0.017081744966930767,True,True,True,False,True,True
